,0
0,3.5
1,C#2
2,E6
3,B-4
4,4
5,4.7.11
6,F2
7,B4
8,D3
9,2
10,3.8
11,C5
12,G2
13,5.10
14,8.10
15,9.11
16,7.10.0
17,2.5
18,3
19,6.10.1
20,D6
21,4.8
22,C3
23,0.2
24,4.7.9
25,G4
26,1.5
27,10.2.5
28,2.6.9
29,G#4
30,1.3
31,1
32,C2
33,11.2.6
34,B1
35,F6
36,B-6
37,C#4
38,5.8.0
39,11.2.4
40,6.8
41,1.7
42,E2
43,5.7
44,0.3.6
45,0.3.5
46,9
47,A6
48,A4
49,5.9.0
50,0.2.6
51,10.2
52,8
53,8.1
54,6.9
55,A2
56,1.5.8
57,A1
58,10.1.3
59,6.9.1
60,4.6
61,7.9.1
62,5.8
63,6.11
64,E-2
65,B5
66,D4
67,3.6.10
68,10
69,2.7
70,E4
71,6
72,3.6.9
73,F#4
74,3.6.8
75,1.4.7.10
76,11.2
77,11.1
78,9.1
79,G5
80,C4
81,0.4.7
82,10.1.4
83,10.1
84,B-2
85,4.7
86,F4
87,7.10.2
88,F#3
89,C#3
90,E5
91,2.6
92,0.1
93,G3
94,10.11
95,F3
96,9.0.4
97,B-5
98,8.11
99,4.10
100,1.4.7
101,C#6
102,10.3
103,0.6
104,11
105,B-3
106,2.4.8
107,9.0
108,7
109,B-1
110,9.10
111,E-6
112,8.11.3
113,B2
114,G#1
115,2.5.9
116,7.10.1
117,A5
118,5.11
119,E-4
120,C7
121,0.3.7
122,E-3
123,4.8.11
124,0.3
125,F#2
126,9.2
127,D5
128,5.8.11
129,G#3
130,F#6
131,2.4
132,8.0.3
133,8.11.2
134,10.1.5
135,3.6
136,0.4
137,9.1.4
138,D2
139,F#5
140,C#5
141,G#2
142,1.4.8
143,0.5
144,7.10
145,5
146,6.10
147,11.3.6
148,0
149,B3
150,4.9
151,2.8
152,11.2.5.7
153,8.0
154,1.6
155,E-5
156,7.9
157,G6
158,G#5
159,7.8
160,9.0.2
161,F1
162,7.11
163,3.4
164,3.7.10
165,A3
166,3.9
167,E3
168,4.7.10
169,11.4
170,7.11.2
171,10.0
172,G1
173,F5
174,7.0
175,5.9
176,11.3
177,G#6
178,1.4
179,3.7
180,C6
181,2.5.7
