,x_test,future
0,"[132 111 180 158 180  11 122 141 155  11  29  29 129  11  29 119  29  93
 140  95  89 173 140  29  29  37 140  29  86  29  80 155]",[122  79 155   3   3 119 155   3]
1,"[ 57   6 161  55  57   6 161  55  57   6 161  55  57   6 161 165  55  95
   6 165  55  95   6 165  55  95   6 165  55  95   6 165]",[ 95   6 165  55  95   6   4  88]
2,"[ 22  46  46  86  95  86  95  86  95  70 167  86  95  66   8  23  23 104
 104  25  93 170  43 174  85  69 162  85 174 162  69 173]",[118   8  93 136  22  85  12  93]
3,"[ 93 116 105  93 116  70  93 116 105  93 170  12  93 149  93  66  93 149
  93  86   5  70  86 162  25  22  93  81  80  93  69  70]",[ 81  80  93 138   8 170  93   8]
4,"[137  57  55  55  55  78  57  55  55  55  57  55  55  55 137  57  55  55
  55  78  55  55  57  55 172  12 125  33  34 113 113  89]",[113  91  34 129 113 137   1  89]
5,"[166  86 173 166  86 139 166  73 130 166  73 130 166  73 157 102  25  79
 102  25  79 102  25 117 124  25 110 124 157  25  47 124]",[ 36  69  25 171  69 117  25  97]
6,"[122  29 167  48 122   7   8  48 167   7   8  11  22   7   8  11  22 127
 113  11  22 127 113  90  55  86  66   3 105 127  95 173]",[ 97  84  20   6  35 138  36 109]
7,"[134 140  42  75  11  11   6 135  49 175  45   3  86   6 134  49 134 140
  26 173 134  26 125 146 124 124   6 135  49  49  45 134]",[134  26 134 140  37 125 140  89]
8,"[ 11 173 117 107 145 107 107 174   4   4 174   4 143   9 118 108 118 169
 148 150 145 145 126 104 151 107 148   9   9 123   4 117]",[ 46 157  35   2  46  20 180  46]
9,"[ 31  56 128  31  38 148  81 148 171 171 174 174 174 174 153 153 143 143
 143 143  40  40 153 153 153 153  62  31  56  53  40  40]",[153 153 153  62  31  56  53   0]
10,"[101  69  65 117 170  79 139  91 117  54 139 117  91 139 117  54 139  90
  41 139  79 156  65 117  41  79 139 156  90 127  91  90]",[127  90  91 127  90  54 127  66]
11,"[  3  88  37  73  86  37  86 119  34   3  29  73 113  86 119  37 149 105
 129   6 149  86  29  95 149  86 119 149 119  66 109  29]",[ 86  84 119  66 149 105 129  88]
12,"[129   7 149 113  48 119 165   7  48 113 119 149  88  48  29 167 149  70
  89  73 122  29 167  70  29 129  90  29  95 155  29  37]",[ 48  88  37  48 125 140  29 141]
13,"[ 31  31  31  31  31  85  31  83  85  83  85  85  31 144 178  31 144  31
 178  85  31  83  85  83  85  85  31 144 178  31 144  31]",[85 31 85 31 85 31 21 31]
14,"[ 51  86 101  51  86  20  51  86  97  51  86 117  51  86  97  51  86  79
 102  25 117 102  97  25 180 102  20  25  97  51  86 180]",[ 97  86 117  51  79  86 173 166]
15,"[139 117  73  79 139  48  90 127  91 165  88   8  25  93  48 165   7 149
  11  80 140  37 127  66 140  37 127  66 139  73  90  70]",[ 66 140  37  90  70 127  66 140]
16,"[167  48 122  89 113 149 165  37 119  70  93  73  88  25 167  48 122  89
 113 149 165  37 119  70  93  73  88  25 167  73 122  25]",[ 48  88  25 167  48  88   7  93]
17,"[180  49 120  36  16 180 180 171  95 120  36  49 180 180  49 120  36  49
 180  47  49 120 157  49 120 157  49  49  22  81  81  47]",[ 36  81  81 120  49  16  22  16]
18,"[ 28   9 131 126  91  91  54  54 126  54 126  54 126  54 126 146  83 146
  83 146  83 146  83 146  83 146  83  54 126 156 150  46]",[ 91 104 100  46  28  71  46  28]
19,"[127 113 118 151  90  55 127 113 118 108 155 127 118 155 127 118 155 127
 158  79 173  79 173 155 173 155 127  11 127 155 127 155]",[ 79  25  48   7  11  48 127   7]
20,"[ 13 110  22 117  97  65 180 101  20  35   6  49   2 111  49  20  84   2
  27  35  47  36  35  27  20 101  42 157  75  36 120  36]",[101 180  95  80 105  20 111 165]
21,"[125  89 167  88 167  89 149  34 113 122  88 122 113 122 113 122  88 122
 113 149 114 113 167 129 167 113 167 113 167 129 114 167]",[113  34 149  34 113 122  88 122]
22,"[180 135 111 124  46 180 135  46 111 117 148  47 130 111 117 139 155  48
  25 104  79 127   9   7 127 108  20  65 145  79 136   4]",[ 17 148 173  85 104  79 175  46]
23,"[ 93  37 119  37 105 105  37 105  93  37 119  37 105 105  37 105  93 119
 141  80 129  29 119  80  25  22 119  80  86  89  37 129]",[84 86 37  3 89 86 37  3]
24,"[ 95  13  84   8  95 175  22  84  95  13  84   8  95 143 122  84  95  17
  84 167  95  95  95  95  95 143  84 122  13   8 143   6]",[ 95 143 122   6  95 143   6 122]
25,"[ 79  79  51  27 173 173 107  45 173 173  27 105  86  66 105  95   8  27
  84   8  95   8  95 105 164 105  25 119 105  93 122 164]",[122  93 144 122  93 105  27 105]
26,"[ 40 113 140   1  40  89   7 138  40   8 140   1  37  56  86  29  37  48
  30 125  29 114  30 141  73  57  30  55  29 114 129 132]",[119 129  86   1  95  89 129  37]
27,"[ 93 140  95  89 173 140  29  29  37 140  29  86  29  80 155 105 122  79
 155   3   3 119 155   3  25   3  37 155 129  80 158 155]",[ 11 119 155  11  29  11 180 141]
28,"[ 49 127  84  90  27 173 117  97 173  27 127  11  64 139  79 117  97  79
  11  11  64 180  65 136  93  97 117 165  11   3  79  48]",[173  11 107  95 155   3  51 127]
29,"[113 122 113 122  88   1  64 122  42 113 125 149 141 113   8  95   8 113
 105 125  89 167  88 167  89 149  34 113 122  88 122 113]",[113 122  88 122 113 149 122  88]
