Unnamed: 0,x_test,future
0.0,"[ 78 128  78  80  82   9 123 137 128  80  73 128  46 144 159 123 177 128
 165 128  82  78 159 123 137 128 160 128  80  73  82 123]",[128  78 128  78  80  82   9 123]
1.0,"[  0 104   0 104   0 104   0 104   0 104   0  22 129  90  98 102  26 129
 153 105 129 153 159 129 110 153  66 129   7 100 129  53]",[ 51   7 110 153  37  49 166  87]
2.0,"[  6 141   6 141   6 141   6 141   6 141   6 141   6 141   6 141   6 141
   6 141   6  52  37  52  37  52  37  52 117 177  78  78]",[128 177  78  78  52 117 177  78]
3.0,"[165  35  17  82 165  35  17  82 165  94  17  46 165 179  17  46 165  94
  17  82 165  94  17  46 165  94  17  82 165  94  17  82]",[ 35  17   9 134  46 165 135 178]
4.0,"[144  80 151  35 144  91 151  35 144  91 151  50 144  14 150  80 151 141
 157 141 157 141 157 141 157 141 157 141 157 141 157 141]",[141   6 141   6 141   6 141   6]
5.0,"[ 94  46  82 165  85 126 180  85 165   7 126  85 180 165 105  93  46 105
  14 160 179  69  46 179  94 160  46  28  82  46  14 160]",[176  35 160  94 176  35 160  94]
6.0,"[ 97  42 151 136  18  42 144  18  42 123  18 136 145  13  17  97 145 123
  97 145  17  97  43 136  13  97  43  97  43  14  97  92]",[103 103 145 103 103  92 145  85]
7.0,"[ 47 108  47 108  47 108  47 108 114  47 108  47 108 114  47 108  47 108
 114  47 108  47 108  47 108  47 108  47 108  47 108  47]",[ 47 108 118 181 181 181 181 118]
8.0,"[172 128  72  11  10 128  38 172   9  50 177 167  78 158 155 167 110  68
  60 167  16  72  11  21  16 179 159 117  80  82  72 152]",[167 172  38   1  21  11 160  11]
9.0,"[ 82  94  46 179 105  85  97 178  28  99 155 178  28  99 155 178  28 142
 159 105 153  26 102  98  90  31  82  10 159 166   7 159]",[180   7  26  94  31 105 153 127]
10.0,"[179  54  46  17  80 144   9  73  14 160  17 103  14 160  50  78  54 117
  50  78  54 117 144  60  54 117  50 177   9 174  82 134]",[ 60 159 128 179 117 180 152 166]
11.0,"[ 55  99   5  64  93  99 178  99  99  55  70  99  99 157  55  55  99  99
   5  64  64  93  99  99 178  99  99  99  55  55  70  99]",[157 157 116 116 129  20  20 129]
12.0,"[ 52  37  66  19  37 177  60  78  66 177 128  78  52 177 117  78  10 177
 152  78  50 158  78  21   8 155 170 139 139 139 139 139]",[139 139 139 139 139 139  80 170]
13.0,"[ 73  46   9  42  73 105   9  93  73  53   9  16  29  16  29  16  29  79
   0  79   0  79   0 125 178 125 178 125 178  16   8  16]",[16  8 25 99 25 99 25 99]
14.0,"[136  71  13  71  13  71 136  71  13  91  51  13  71  50  13  71 136  13
  71  17  27  78  13  91  42 151 144  17 144 151  80  57]",[136  91 136 123 163  35  78  13]
15.0,"[180  14  91 105 151  17 166  14  91  85 151  17 136  91 151  71 136  91
 151  71  17  91 151  71  17  91 180 151  71  17  91 151]",[ 17  91 151 144  45 136  91 103]
16.0,"[123 179  60 153 107  53  18 115  98 107  33 102 128  90  33  98 102  26
  53  22 153 166  78 136 123 165  78 152 128  78 115  60]",[ 16 115  18 115  36  16 115  26]
