,x_val,future
0,"[ 69 162  85 174  85 174 174   4 136 108 174   4 136 148  11 104 136  46
 174 108  49 143  49 143 107 143  95 171 174 107 143 107]",[ 95  41  18  28   9  28   9 126]
1,"[149  70  29  11 129 149  70 127  29  90 129 149  70  48  42 165  80  70
  48 165  80  70  29  11 129 149  70 127  29  90 129 149]",[ 48  42 165  80  70  48 165  80]
2,"[ 25  11 136  25 153 129  80 155 153  37 155 153  80 155  62  89 105 158
  62  95 158  62  93 158 105 153 122 129 155 153  93 155]",[129 155  41 105 122 155  41 155]
3,"[119 176  88 149  37  83  88 105  86   1 149  37   7  89 149  37  29  95
 149  37  86 129 149  37  73 125  88 105  37  83  88 105]",[176  88 149  37  83  88 105  86]
4,"[105  84 105   9 129 105 148  66 105  68 129 105  68 122 105  52  93 105
 108 119 105  93 105  12 149 145  93 149   9  86 149 104]",[149 108  22  93 145 122  93  18]
5,"[127   3 109 127  97 127   3  84 127 173 117 127  48   8 127 155  79   3
  25 122   3 127  79   3  25  93   3 127 173   3  86 105]",[127 173  48  86  66  48  11 155]
6,"[ 88  89   7 125  89 129  89 140 125  89 105  89 125  89 105  89 125  89
 105  89   7 125  89   3  88  89 155 125 122 149 122 155]",[122 149 122 155 125 122 149 122]
7,"[129  29 114  30  30 141 129 114  30  30 141 129  29 114 124 124 141 129
  21   1  89  37 140  21   1   1 135  32 135   1  89  37]",[135   1   1  32  54   1  89  37]
8,"[140 125  89 165 125  89 165 140 125  89  48  88  29  89  95 129  89  95
 129 139  55  89  48  88  29  89  95 129   8   7 129  48]",[ 29  95  48  88   7  53 140 125]
9,"[ 11 119 155  11  29  11 180 122 141 111 180 158 158 129 180 158 155 158
  93 101  95  89  35 101 158 158  37 101 158 173 158  80]",[105 122 157 111  97  97 119 111]
10,"[ 97 127   3  84 127 173 117 127  48   8 127 155  79   3  25 122   3 127
  79   3  25  93   3 127 173   3  86 105   3 127 173  48]",[ 66  48  11 155  48 119   6  48]
11,"[ 31  62  31  53 145  53  62  53  62  53  62 124  40 124  40 124  40  31
  56 128  31  38 148  81 148 153 145  95  38  95  38 145]",[ 95 153  95 134 145  83  95  83]
12,"[ 29  11  29 145  11  29  11  73   3  73   3  73 145   3  73   3  86  84
  29  86  29  86 146  29  86  29  70  22  25  70  25  70]",[25 86 29 22 11 29 11 29]
13,"[ 84 129 141  93  12  95   6 122  64  89   1  22  32  84 109 141 114  12
 172 141 114  84 109  22  32  89   1 122  64  95   6  93]",[129 141 105  84  80  22  37  89]
14,"[178 178 178 178 178 178  29 178 178 178  29 178 178 178   3 178 178 178
  29  64  83 122  83 122  83 122  83 122  83 122  83  29]",[ 83 122  83 122  83 122  83 122]
15,"[176 135 176 135 176 135 176 135 176 135 176 135  76  69  23 126   9  76
 162   4  28   9 170  76   9 170  69 170  69 127   9 127]",[ 81 174  81 174  81 174  81 174]
16,"[ 31  38 148  81 148 145 145  86  95  25  93  48 165   3 105  11  80  23
 107  99 174  99 174  99 174 175 143 175 143 107  23 144]",[144 136 107 145  49 143  11 107]
17,"[ 42  42  42  42  42  42 138 138 142   1   1 106  34  34 137  57  55  55
  55  78  57  55  55  55  57  55  55  55 137  57  55  55]",[ 78  55  55  57  55 172  12 125]
18,"[ 31  37 129  68 125  88 105  68  70  31 105  88 104 113  88 149 119 149
  88 104  73 135   7 104 176 104  73   9   7  98 173   9]",[  9   7  18   3   3  18 135  71]
19,"[149  37  52  86  37 149 104 125 129  66  86  66 129  68 125 105  37  52
  73  37  71 105 145  89  95 129  37 129  95  18 141  88]",[129  71  80 129  52  88  31  89]
20,"[122 124 122 141 124 180 122 101 136  12  22  97 136  22 180   6  22 158
 143  22  14 159  18  97 153  10  10 153  10 153  10 153]",[ 10 124  10 124  10  38 145  38]
21,"[122  93  17   8  95   3  84   8 105 102 144 105 105 105 105 105  51  84
  95 171 122  51  84  95   8 175  84  22  95  13  84   8]",[143  84 122  95  13  84   8  95]
22,"[ 91 126  88 165  21  21  73 126  70  78 166 137 137   4   7 137 150  48
  91  91 165 150  37  91  66   8  91 138   8  91 165 150]",[ 91 149  76  88 154 165  76  93]
23,"[ 86  49  49 117  86  81  81  79  25  81  81  79  25 170 181  79  25 170
 181  79  25   2  32 120 157   2 180 136  79  90 136  11]",[ 69 157  35  65  12  79 173  12]
24,"[119 122 124 122 125 124 122  83  83   6 122 107 122  83 178  83 178 153
  18 144  30 153 132 155 122 132 122 141 158 124 122  97]",[ 84  30  79 122  97  97 122  22]
25,"[ 29  86  37  37  89  86  37 129  37  75  70  37 105 105  37 105  93  37
  75  70  37 105 105  75  37 105  93  37  75  70  37 105]",[ 37 105  93  37 119  37 105 105]
26,"[169  29  21 169  21 169  70  29 169 119 151  21 119  29 102  25 119 102
  29   3  11  56  56 155 144 140  11 140 155 144  18 116]",[153  10  38  38  38  38  38  38]
27,"[ 40  74  40  74  40  74  40  74  29   1  21 142  21 142  21 142  21 142
  21 142  90 142  21 142 155 142  10 142 140 142  53 142]",[64 53 74 53 74 53 74 53]
28,"[ 26 118  26 136  40 146  26  26  26  11  17 155 158 180  40 111 135 177
 101  62  10  62  74  62  74  21  74  86  26  62  26  62]",[ 26  27 136  27  26  27  26 179]
29,"[ 95 143 153  22 144  62 143 144 153  22 140  16 136  90  38  95 143  38
  95 143 158  85  84  90  79  83 158  79  84  85  83 173]",[113 158  76 113  79  76  26 153]
30,"[149  93   5  70 170  66 162 149  25  93 170 138   8  28  88   8  28 165
   8  28  88   8 168  55 167 116  93 167 116 165 167 116]",[167  28 138   8  88   8 165   8]
31,"[ 31  13   9 150 148  69  68 103  46  69  68 150  31  13   9  41   4 126
 145 150 108 126 145  87   9 115   9  66 127 127  87 108]",[  9  68  46 115   9   9 148  68]
32,"[107 165 126  15   4 148  17 126  66  69 136 107 143 107 143 143  46 175
 148 143  46 175 145  86   4 175   9  49 148  27  68  27]",[ 17  13 105 143 175  17  13  17]
33,"[ 54  21 135  21   1  89  37 140  21 118   1  89  37 140 118  29  54  62
  54   1  89  37  59  54  54  78   1  89  37 140  78  54]",[  1  89  37 140  21 137  52 132]
